product_name;merchant_image_url;description;search_price;brand_name;category;ingredients;Anwendung;vegan;alcoholFree;fragranceFree
The Ordinary - Cleanser Mit Squalan - Reinigung Und Make-up-entferner - Hydrators And Oils Squalance Cleans 50ml;https://media.sephora.eu/content/dam/digital/pim/published/T/THE_ORDINARY/502458/161709-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Eine sanfte Reinigung, die perfekt reinigt und make-up entfernt. Die vegane Formel enthält Squalan und andere Lipophile ester, die effektiv Make-up und Unreinheiten entfernen, die Haut geschmeidig machen und ihr Feuchtigkeit spenden. Nachdem die Balsamtextur 10 bis 30 Sekunden lang zwischen den Handflächen erhitzt wurde, verwandelt sie sich in öl.  Die in der Formel enthaltene Zuckerester-emulsion sorgt dafür, dass Verunreinigungen und make-up beim abspülen mit wasser aufgenommen und entfernt werden können.  diese seifenfreie, nicht komedogene reinigung eignet sich für den täglichen gebrauch und für alle hauttypen.vegan : produkte aus natürlich gewonnenen inhaltsstoffen.  The Ordinary - Cleanser mit squalan - reinigung und make-up-entferner - Hydrators and oils squalance cleans 50ml;11.45;The Ordinary;Gesichtsreinigung;SQUALANE, AQUA/WATER/EAU, COCO-CAPRYLATE/CAPRATE, GLYCERIN, ETHYL MACADAMIATE, SUCROSE STEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED STARCH HYDROLYSATE, SUCROSE LAURATE, POLYACRYLATE CROSSPOLYMER-6, ISOCETETH-20, SODIUM POLYACRYLATE, TOCOPHEROL, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, MALIC ACID, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, CHLORPHENESIN.;"Erwärme eine kleine Menge des Produktes in deinen Händen, bis es sich in Öl verwandelt.

Trage es auf die trockene Haut auf und massiere es ein. Spüle es anschließend mit warmem Wasser ab. Bei Irritationen die Anwendung abbrechen und einen Arzt aufsuchen.
Nur gemäß der Gebrauchsanweisung auf intakter Haut anwenden. Ein Hauttest vor der Anwendung wird empfohlen.

Eine ausführliche Anleitung für die Durchführung eines Hauttests findest du auf der DECIEM-Website.";True;True;True
Lancôme - Gelatée Confort Reinigungsmilch - Flacon Pompe 200 Ml;https://media.sephora.eu/content/dam/digital/pim/published/L/LANCO/87269/67930-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Die Abschminkmilch mit ultraweicher Textur befreit die Haut selbst von hartnäckigem Make-up. Angereichert mit nährenden Lacto-Proteinen sowie feuchtigkeitsspendenden und beruhigenden Wirkstoffen ist sie eine wahre Wohltat für die Haut. 200 ml
";18.45;Lancôme;Gesichtsreinigung;AQUA / WATER- BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER- GLYCERIN- DIMETHICONE- POLYETHYLENE- PARAFFIN- PARAFFINUM LIQUIDUM / MINERAL OIL- GLYCERYL STEARATE- PEG-1 STEARATE- SODIUM LAURETH SULFATE- ACRYLATES COPOLYMER- CI 172 / RED 33- TOCOPHEROL- CYCLODEXTRIN- SODIUM HYDROXIDE- HYDROXYETHYLCELLULOSE- PHENOXYETHANOL- STEARIC ACID,FAEX EXTRACT / YEAST EXTRACT- POLYSORBATE 6- PALMITIC ACID- MEL / HONEY- MANNITOL- ISOBUTANE- ALPHA-ISOMETHYL IONONE- CARBOMER- DISODIUM SUCCINATE- CETYL ALCOHOL- METHYLPARABEN- PRUNUS AMYGDALUS DULCIS PROTEIN / SWEET ALMOND PROTEIN- HEXYL CINNAMAL- GLYCINE SOJA OIL / SOYBEAN OIL- PARFUM / FRAGRANCE;Tägliche Anwendung: morgens und abends. 1. Tragen Sie die Abschminkmilch mit den Fingern in kreisenden Bewegungen (Stirn, Wangen, Kinn) und zum Abschluss auf Gesichtsmitte und Hals auf. 2. Entfernen Sie die überschüssige Abschminkmilch mit einem Papiertuch. 3. Zum perfekten Abschluss des Abschminkens ist die Verwendung eines Gesichtswassers unerlässlich. Die Abschminkmilch mit ultraweicher Textur befreit die Haut selbst vom hartnäckigsten Make-up. Angereichert mit nährenden Lacto-Proteinen, feuchtigkeitsspendenden und beruhigenden Wirkstoffen ist sie eine wahre Wohltat für die Haut. Eigenschaft: reinigend, feuchtigkeitsspendend, beruhigend.;false;True;False
Kiehl's Since 1851 - Midnight Recovery Cleansing Oil - Reinigungsöl - midnight Recovery Cleansing Oil 175ml;https://media.sephora.eu/content/dam/digital/pim/published/K/KIEHLS/533824/225480-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Das Midnight Recovery Botanical Cleansing Oil von Kiehl’s ist ein luxuriöses Reinigungsöl für die abendliche Pflegeroutine und eignet sich für alle Hauttypen. Es befreit die Haut sanft von Make-up-Rückständen, Schmutz und überschüssigem Talg, ohne sie zu belasten.
Die Formel enthält Nachtkerzenöl, Lavendelöl und Squalan. Diese Inhaltsstoffe helfen, die Haut porentief zu reinigen, sie zu beruhigen und mit Feuchtigkeit zu versorgen. Das Pflegeöl hinterlässt die Haut zart, geschmeidig und optimal gepflegt. 175ml
";36.45;Kiehl's Since 1851;Gesichtsreinigung;ETHYLHEXYL PALMITATE • ZEA MAYS GERM OIL / CORN GERM OIL • ISOPROPYL MYRISTATE • CAPRYLIC/CAPRIC TRIGLYCERIDE • POLYGLYCERYL-10 DIOLEATE • POLYGLYCERYL-6 DICAPRATE • OENOTHERA BIENNIS OIL / EVENING PRIMROSE OIL • POLYGLYCERYL-2 OLEATE • CORIANDRUM SATIVUM SEED OIL / CORIANDER SEED OIL • HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL • PHENOXYETHANOL • SQUALANE • LAVANDULA ANGUSTIFOLIA OIL / LAVENDER OIL • ISOPROPYL LAUROYL SARCOSINATE • DICAPRYLYL ETHER • DICAPRYLYL CARBONATE • GERANIUM MACULATUM OIL • ROSMARINUS OFFICINALIS LEAF OIL / ROSEMARY LEAF OIL • LINALOOL • TOCOPHEROL • CITRONELLOL • GERANIOL • LIMONENE • GLYCINE SOJA OIL / SOYBEAN OIL • GLYCERYL STEARATE CITRATE;Geben Sie am Abend drei bis vier Pumpstöße in Ihre Handfläche und massieren Sie das Midnight Recovery Botanical Cleansing Oil von Kiehl’s sanft in die trockene Haut ein. Anschließend befeuchten Sie die Haut, sodass das Öl emulgiert und zur Reinigungsmilch wird. Danach spülen Sie Ihr Gesicht gründlich ab und tupfen Sie es mit einem sauberen, weichen Handtuch trocken. Zum Schluss tragen Sie Ihre übliche Nachtpflege auf.;True;true;False
Mario Badescu - Acne Facial Cleanser - Gesichtsreiniger - acne Gentle Foaming Facial Cleanser;https://media.sephora.eu/content/dam/digital/pim/published/M/MARIO_BADESCU/583737/270545-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Ein milder Reiniger, der Verunreinigungen entfernt und die Haut sauber sowie frisch hinterlässt, ohne einen Fettfilm zu hinterlassen. Das Produkt ist vegan und besteht aus natürlich gewonnenen Inhaltsstoffen.;10.45;Mario Badescu;Gesichtsreinigung;AQUA (WATER, EAU), COCO-BETAINE, SODIUM LAUROYL GLYCINATE, GLYCERIN, ACRYLATES COPOLYMER, ALOE BARBADENSIS LEAF JUICE, PHENOXYETHANOL, SODIUM HYDROXIDE, PROPYLENE GLYCOL, SACCHAROMYCES/XYLINUM/BLACK TEA FERMENT, BHT, ETHYLHEXYLGLYCERIN, CHAMOMILLA RECUTITA (MATRICARIA) EXTRACT, OENOTHERA BIENNIS (EVENING PRIMROSE) FLOWER EXTRACT, POTASSIUM SORBATE, SODIUM BENZOATE, CITRIC ACID;"An einem kühlen und trockenen Ort aufbewahren.
Mit kreisenden Bewegungen mit den Fingerspitzen vorsichtig in die feuchte Haut einmassieren, dann mit reichlich warmem Wasser abwaschen.
Bei Kontakt mit den Augen mit reichlich Wasser ausspülen.";True ;true;True
Beauty Of Joseon - Ginseng Cleansing Oil - Sanfter Make-up-entferner Mit Ginsengextrakt - ginseng Cleansing Oil;https://media.sephora.eu/content/dam/digital/pim/published/B/BEAUTY_OF_JOSEON/761483/365587-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Ein Reinigungsöl, das Verunreinigungen sanft entfernt und für einen sauberen, erfrischten Teint sorgt. Sojaöl hilft, Unreinheiten und Make-up-Rückstände, die sich auf der Haut ansammeln, sanft zu lösen.
Das mit Ginsengsamenöl angereicherte Reinigungsöl hat einen dezenten, entspannenden Duft und verwandelt die Pflegeroutine in ein beruhigendes Ritual. Es verstopft die Poren nicht und belebt die Haut sanft.
";13.45;Beauty Of Joseon;Gesichtsreinigung;GLYCINE SOJA (SOYBEAN) OIL, CETYL ETHYLHEXANOATE, SORBETH-30 TETRAOLEATE, OLEA EUROPAEA (OLIVE) FRUIT OIL, SORBITAN SESQUIOLEATE, HELIANTHUS ANNUUS (SUNNFLOWER) SEED OIL, TOCOPHEROL, PANAX GINSENG SEED OIL, ETHYLHEXYLGLYCERIN, ECLIPTA PROSTRATA EXTRACT , PANAX GINSENG ROOT EXTRACT, MELIA AZADIRACHTA LEAF EXTRACT, MELIA AZADIRACHTA FLOWER EXTRACT, AMBER POWDER, MORINGA OLEIFERA SEED OIL , SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT, CURCUMA LONGA (TURMERIC) ROOT EXTRACT, OCIMUM SANCTUM LEAF EXTRACT, CORALLINA OFFICINALIS EXTRACT, BIXA ORELLANA SEED OIL, PANAX GINSENG BERRY EXTRACT, BUTYLENE GLYCOL, WATER, 1,2-HEXANEDIOL;Ein bis zwei Pumpstöße sanft in die trockene Haut einmassieren. Anschließend mit lauwarmem Wasser vorsichtig abspülen und das Gesicht mit einem Reinigungsschaum waschen.;True ;True;True
Beauty Of Joseon - Green Plum Refreshing Cleanser - Reinigungsgel Mit Niedrigem Ph-wert - refreshing Green Plum Cleanser;https://media.sephora.eu/content/dam/digital/pim/published/B/BEAUTY_OF_JOSEON/761485/365589-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Dieser Reiniger mit niedrigem pH-Wert hat eine cremige Geltextur. Mit 24,5 % Pflaumenwasser und 2,94 % Mungobohnen-Extrakt entfernt er sanft Unreinheiten und Rückstände und versorgt die Haut gleichzeitig mit Feuchtigkeit.




";8.95;Beauty Of Joseon;Gesichtsreinigung;Water, Prunus Mume Fruit Water, Cocamidopropyl Hydroxysultaine, Phaseolus Radiatus Seed Extract, Sodium Cocoyl Isethionate, Glycerin, Sodium Chloride, Camellia Sinensis Leaf Extract, Houttuynia Cordata Extract, Nelumbo Nucifera Flower Extract, Oryza Sativa (Rice) Extract, Prunus Mume Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Guar Hydroxypropyltrimonium Chloride, Coconut Acid, Ethylhexylglycerin, Caprylyl Glycol, Sodium Isethionate, Citric Acid, Butylene Glycol, 1,2-hexanediol, Punica Granatum Extract, Clitoria Ternatea Flower Extract, Garcinia Mangostana Peel Extract, Propylene Glycol Laurate, Sodium Citrate, Disodium EDTA;Gib eine angemessene Menge Reinigungsmittel auf deine nassen Hände und massiere dein Gesicht sanft. Mit lauwarmem Wasser abspülen.Verwende einen Reiniger auf Ölbasis (Reinigungsöl, Balsam usw.), um das Make-up von deinem Gesicht zu entfernen.;True;True;True
Anua - Heartleaf Pore Control Cleansing Oil - Renigungsöl Für Make-up - heartleaf Pore Cleansing Oil 200ml;https://media.sephora.eu/content/dam/digital/pim/published/A/ANUA_THE_FOUNDERS/799296/399701-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Ein sanftes und dennoch effektives Reinigungsöl mit Heartleaf-Extrakt. Es wurde speziell entwickelt, um Make-up, Sonnenschutzmittel und Unreinheiten zu lösen und gleichzeitig das natürliche Feuchtigkeitsgleichgewicht der Haut zu respektieren.
Es reinigt die Poren tiefenwirksam und entfernt überschüssigen Talg, ohne die Poren zu verstopfen oder die Haut zu irritieren. Der Heartleaf-Extrakt beruhigt Irritationen und unterstützt eine ruhige, ausgeglichene Haut. Die leichte, nicht komedogene Textur eignet sich ideal für empfindliche und zu Akne neigende Haut. 200ml
";17.95;Anua;Gesichtsreinigung;Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Caprylic/Capric Triglyceride, Butyl Avocadate, Fragrance, Helianthus Annuus (Sunflower) Seed Oil, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Caprylyl Glycol, Ethylhexylglycerin, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta Flower Extract, Tocopherol, Melia Azadirachta Leaf Extract, Houttuynia Cordata Extract, Corallina Officinalis Extract, Melia Azadirachta Bark Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract;Eine entsprechende Menge des Produkts sanft auf die trockene Haut massieren. Sorgfältig mit lauwarmem Wasser abwaschen.;True;True;false
Clinique - Rinse-off Foaming Reinigunsschaum - 150 Ml;https://media.sephora.eu/content/dam/digital/pim/published/C/CLINIQUE/18849/46232-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Ein wasserlöslicher Reinigungsschaum, der Make-up, Schmutz und Rückstände schnell und einfach entfernt. Botanische Extrakte beruhigen die Haut und hinterlassen sie porentief rein. Augenärztlich getestet. 150 ml;26.45;Clinique;Gesichtsreinigung;Water , Potassium Myristate , Glycerin , Potassium Behenate , Sodium Methyl Cocoyl Taurate , Potassium Palmitate , Potassium Laurate , Potassium Sterate , Peg-3 Distearate , Cholesteryl Hydroxystearate , Butylene Glycol , Sodium Hyaluronate , Trisodium Edta , Disodium Edta , Phenoxyethanol , Ext. Violet 2 (Ci 60730) , Red 4 (Ci 14700);"Auf das Gesicht auftragen, aufschäumen und einmassieren.
Danach gründlich mit Wasser abspülen.";True;true;true
The Inkey List - Pickel- & Porenreiniger Mit Salicylsäure - 150 Ml;https://media.sephora.eu/content/dam/digital/pim/published/T/THE_INKEY_LIST/471084/112512-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Der beliebte Kult-Gesichtsreiniger mit Salicylsäure entfernt Make-up und Unreinheiten und hilft gleichzeitig, Mitesser und Pickel zu reduzieren.
Der 2%ige Salicylic Acid Cleanser reinigt effizient und enthält zusätzlich eine Zinkkomponente. Gemeinsam wirken sie fettregulierend, reduzieren Mitesser und Pickel und fördern ein ebenmäßigeres Erscheinungsbild des Teints.
Die Formel enthält 2 % Salicylsäure, die hilft, verstopfte Poren zu befreien und die Haut sanft zu exfolieren. Eine Zinkkomponente unterstützt die Reduzierung von überschüssigem Fett, während 0,5 % Allantoin hilft, Hautirritationen zu beruhigen.
150 ml
";11.95;THE INKEY LIST;Gesichtsreinigung;AQUA (WATER), PROPANEDIOL, GLYCERIN, SODIUM METHYL COCOYL TAURATE, COCAMIDOPROPYL BETAINE, PEG-120 METHYL GLUCOSE DIOLEATE, SALICYLIC ACID, PEG-150 PENTAERYTHRITYL TETRASTEARATE, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, BETAINE, ZINC PCA, PHENOXYETHANOL, SODIUM CHLORIDE, ALLANTOIN, SODIUM HYDROXIDE, COCO-GLUCOSIDE, GLYCERYL OLEATE, BENZYL ALCOHOL, COCONUT ACID, ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, CITRIC ACID, DEHYDROACETIC ACID, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, TOCOPHEROL, HYDROGENATED PALM GLYCERIDES CITRATE;"Der Salicylic Acid Cleanser kann morgens und abends angewendet werden.
Eine kleine Menge auftragen und mindestens 60 Sekunden sanft in das feuchte Gesicht und den Hals einmassieren.
Gründlich mit viel Wasser abspülen und mit Ihrem verbleibenden Hautpflege-Protokoll fortfahren.";True;False;True
The Inkey List - Hafer Reinigungsbalsam - Cleanser Oat Balm-;https://media.sephora.eu/content/dam/digital/pim/published/T/THE_INKEY_LIST/505911/163071-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;"Der luxuriöse Reinigungsbalsam entfernt sanft Make-up, reinigt und pflegt die Haut. Er ist ideal für empfindliche Hauttypen geeignet.
Die Formel kombiniert hautberuhigende kolloidale Haferflocken mit Ceramiden, um die natürliche Schutzbarriere der Haut zu stärken. Haferkernöl unterstützt die Reinigung und Pflege der Haut.
Die Formel enthält 3 % Haferkernöl, das die Feuchtigkeitsbarriere der Haut sanft unterstützt, sowie 1 % kolloidale Haferflocken, die helfen, Rötungen zu reduzieren und Hautirritationen zu beruhigen.
";10.95;THE INKEY LIST;Gesichtsreinigung;PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, CETEARYL ALCOHOL, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, AVENA SATIVA (OAT) KERNEL OIL, CANDELILLA CERA (CIRE DE CANDELILLA), SILICA, SORBITAN STEARATE, TRIBEHENIN, PEG-60 ALMOND GLYCERIDES, AVENA SATIVA (OAT) KERNEL FLOUR, AQUA (WATER/EAU), BENZYL ALCOHOL, PHENOXYETHANOL, LECITHIN, 1,2-HEXANEDIOL, ASCORBYL PALMITATE, TOCOPHEROL, BIOSACCHARIDE GUM-4, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL.;"Die ideale milde Reinigung für morgens und abends.
Eine kleine Menge sanft auf das feuchte Gesicht und den Hals auftragen, zum Einmassieren Wasser hinzufügen und dann gründlich abspülen.
Für einen Extra-Pflegeboost vor dem Abspülen 10 Minuten einwirken lassen.";True ;False ;True 
